Date,IBOXX Close Price data,,,,
2022-08-31,212.1833,,,,
2022-07-29,221.5675,,,,
2022-06-30,211.537,,,,
2022-05-31,219.3781,,,,
2022-04-29,222.2147,,,,
2022-03-31,228.5922,,,,
2022-02-28,231.713,,,,
2022-01-31,238.2356,,,,
2021-12-31,241.5313,,,,
2021-11-30,241.7945,,,,
2021-10-29,241.4118,,,,
2021-09-30,243.1801,,,,
2021-08-31,244.8417,,,,
2021-07-30,245.8226,,,,
2021-06-30,242.9864,,,,
2021-05-31,241.9413,,,,
2021-04-30,242.3518,,,,
2021-03-31,242.3094,,,,
2021-02-26,241.886,,,,
2021-01-29,243.7902,,,,
2020-12-31,244.1617,,,,
2020-11-30,243.786,,,,
2020-10-30,241.3222,,,,
2020-09-30,239.43,,,,
2020-08-31,238.6643,,,,
2020-07-31,238.2908,,,,
2020-06-30,234.7747,,,,
2020-05-29,231.6964,,,,
2020-04-30,231.2503,,,,
2020-03-31,222.9669,,,,
2020-02-28,239.5398,,,,
2020-01-31,240.4748,,,,
2019-12-31,237.6711,,,,
2019-11-29,237.8105,,,,
2019-10-31,238.4384,,,,
2019-09-30,238.8782,,,,
